,Archipelago,Area (sq km),Common Name,Contact Name,Contact Organization,Country,Data Quality,Eradication End Date,Eradication ID,Eradication Start Date,Human Population,Island Code,Island Name,Latitude,Longitude,OBJECTID,Organization_Website,Primary Baiting Method,Primary Eradication Method,Primary Toxicant,Region,Scientific Name,Secondary Baiting Method,Secondary Eradication Method,Secondary Toxicant,Status (Eradication),Tertiary Eradication Method,Type (Animal),Type (Eradication),Unnamed: 30,Year of Introduction
293,Nelson Islands,0.09,Brown / Norway Rat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Good,1986,857,1986,None,872220,Hawea,-45.593361,166.639638,671,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,1800
294,Hauraki Gulf,0.06,Brown / Norway Rat,null,null,New Zealand,Satisfactory,1989,860,1989,None,897220,Te Haupa (Saddle),-36.511263,174.745014,672,null,Hand Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus norvegicus,,Trapping,,Successful,,Rodent,Whole Island,,null
295,Galapagos Islands,0.11421,Black Rat,null,null,Ecuador,Satisfactory,2002,861,2002,None,754050,Bainbridge - 1,-0.339583,-90.560013,673,null,Hand Broadcast,Toxicant,Brodifacoum,Pacific Ocean - North East,Rattus rattus,,,,Failed,,Rodent,Whole Island,,1600
296,Galapagos Islands,0.02896,Black Rat,null,null,Ecuador,Satisfactory,2002,862,2002,None,872970,Bainbridge - 2,-0.346277,-90.559597,674,null,Hand Broadcast,Toxicant,Brodifacoum,Pacific Ocean - North East,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
297,Hauraki Gulf,0.09,Brown / Norway Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Satisfactory,1997,863,null,None,610310,Motuhoropapa,-36.690889,174.965403,675,null,Unknown,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
298,Wellington Harbor,0.32,Black Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Satisfactory,1990,864,1988,Unknown,413830,Somes (Matiu),-41.259194,174.866264,676,null,Unknown,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1961
299,South-Western Australia,0.0951,Black Rat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Poor,2003,865,null,None,892290,Shelter,-35.051666,117.693375,677,null,Unknown,Toxicant,Brodifacoum,Indian Ocean - East,Rattus rattus,,,,Unknown,,Rodent,Whole Island,,null
300,Pacific Coast Mexico,1.94,Black Rat,Rodriguez; Cristina,UNAM,Mexico,Good,1995,867,1995,11 - 100,122590,Isabel,21.877305,-105.90025,678,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - North East,Rattus rattus,,,,Failed,,Rodent,Whole Island,,1930
302,Greater Antilles (Puerto Rican Islands),0.147,Black Rat,Garcia; M.A.,Bureau of Fisheries and Wildlife; Puerto Rico Dept. of Natural and Environmental Resources,Puerto Rico,Good,1993,869,1992,None,494810,Monito,18.156222,-67.953333,680,null,Bait Station,Toxicant,Bromadiolone,Caribbean,Rattus rattus,,,,Incomplete,,Rodent,Whole Island,,null
303,Kaituna Bay,0.22,House Mouse,Smuts; C.,NZ Dept. of Conservation,New Zealand,Good,1991,870,1989,None,369590,Rimariki (Wide Berth),-35.427958,174.442513,681,null,Bait Station,Toxicant,Bromadiolone,Pacific Ocean - South West,Mus musculus,,,,Successful,,Rodent,Whole Island,,null
304,Whitianga Islands,0.02,House Mouse,Broome; Keith,NZ Dept. of Conservation,New Zealand,Good,1984,871,1983,None,1052540,Whenuakura (Whangamata),-37.222514,175.899569,682,null,Bait Station,Toxicant,Bromadiolone,Pacific Ocean - South West,Mus musculus,,,,Successful,,Rodent,Whole Island,,1980
305,Whitianga Islands,0.02,Brown / Norway Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Satisfactory,1984,872,1983,None,1052540,Whenuakura (Whangamata),-37.222514,175.899569,683,null,Bait Station,Toxicant,Bromadiolone,Pacific Ocean - South West,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,1982
306,Mariana Islands,0.336,Polynesian Rat,null,null,Guam,Satisfactory,2009,876,2009,None,298380,Cocos,13.237042,144.651667,685,null,Bait Station,Toxicant,Diphacinone,Pacific Ocean - North West,Rattus exulans,Hand Broadcast,Trapping,Brodifacoum,Successful,,Rodent,Whole Island,,null
307,Barrow Island Group,4.1143,Black Rat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Good,1991,878,1991,None,95920,Middle,-20.915,115.323319,686,null,Bait Station,Toxicant,Pindone,Indian Ocean - East,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1860
308,Barrow Island Group,1.7,Black Rat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Good,1985,879,1985,None,125630,Boodie,-20.95918,115.322889,687,null,Bait Station,Toxicant,Pindone,Indian Ocean - East,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1860
309,Western Australia (Barrow Islands),0.1022,Black Rat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Good,1985,881,1983,None,854210,Boomerang,-20.734194,115.477097,688,null,Bait Station,Toxicant,Pindone,Indian Ocean - East,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1860
310,Western Australia (Barrow Islands),0.0208,Black Rat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Good,1985,883,1985,None,1654040,Pasco,-20.958805,115.336264,689,null,Bait Station,Toxicant,Pindone,Indian Ocean - East,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1860
311,Mokohinau Islands,0.01,Polynesian Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Good,1990,885,1990,None,650130,Flax (Hokoromea),-35.912513,175.10543,690,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
312,Whangamata,0.1,House Mouse,Thompson; P.,null,New Zealand,Satisfactory,1994,886,1993,None,538460,Hauturu (Clark),-37.217097,175.894597,691,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,Hand Broadcast,,,Failed,,Rodent,Whole Island,,1980
313,New Zealand Islands,19.65,Brown / Norway Rat,Empson; R.,null,New Zealand,Good,1996,888,1996,11 - 100,36910,Kapiti,-40.857111,174.91375,693,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus norvegicus,Hand Broadcast,,,Successful,,Rodent,Whole Island,,1850
314,New Zealand Islands,19.65,Polynesian Rat,Empson; R.,null,New Zealand,Good,1996,889,1996,11 - 100,36910,Kapiti,-40.857111,174.91375,694,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,Hand Broadcast,,,Successful,,Rodent,Whole Island,,null
315,Line Islands,2.349,Black Rat,Island Conservation,Island Conservation,United States Minor Outlying Islands,Satisfactory,2001,890,null,11 - 100,65330,Palmyra,5.880152,-162.065505,695,www.islandconservation.org,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - North East,Rattus rattus,,,,Failed,,Rodent,Whole Island,,null
316,Mercury Islands,2.25,Polynesian Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Good,1993,891,1992,None,125120,Red Mercury (Whakau),-36.62668,175.936653,696,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,Hand Broadcast,,,Successful,,Rodent,Whole Island,,null
317,Mercury Islands,1,Polynesian Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Good,1992,893,1991,None,197250,Stanley (Kawhitu),-36.64293,175.887111,697,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,Hand Broadcast,,,Successful,,Rodent,Whole Island,,1900
318,Marlborough Sound,0.21,Black Rat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Good,1983,896,1982,None,418120,Tawhitinui (Oaie),-41.050416,173.80316,698,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
319,Bay of Plenty,0.045,Polynesian Rat,Owen; K.,NZ Dept. of Conservation,New Zealand,Good,1984,897,1983,None,878470,Rurima,-37.831694,176.880361,699,null,Bait Station,Toxicant,1080,Pacific Ocean - South West,Rattus exulans,,,Bromadiolone,Successful,,Rodent,Whole Island,,1900
320,Derawan Islands,0.1325,Black Rat,null,null,Indonesia,Satisfactory,2003,899,2003,Unknown,1110700,Sangalaki,2.091625,118.400416,700,null,Bait Station,Toxicant,Brodifacoum,Nusantarian Sea,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
321,New South Wales,1.1276,House Mouse,Priddel; David,NSW Department of Environment Climate Change and Water,Australia,Good,2007,900,2007,None,206020,Montague,-36.253777,150.228736,701,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,Hand Broadcast,,,Successful,,Rodent,Whole Island,,null
322,Myall Coast Islands,0.4087,Black Rat,Priddel; David,NSW Department of Environment Climate Change and Water,Australia,Good,2009,901,2009,None,375530,Little Broughton,-32.623333,152.334583,702,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1960
323,Broughton,0.0561,Black Rat,Priddel; David,NSW Department of Environment Climate Change and Water,Australia,Good,2009,902,2009,None,1204020,Looking Glas (South Rock),-32.631666,152.319139,703,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1960
324,Myall Coast Islands,1.6202,Black Rat,Priddel; David,NSW Department of Environment Climate Change and Water,Australia,Good,2009,903,2009,None,166100,Broughton,-32.619583,152.319139,704,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,Hand Broadcast,,,Successful,,Rodent,Whole Island,,1960
325,New South Wales,0.4571,Black Rat,Priddel; David,NSW Department of Environment Climate Change and Water,Australia,Good,2005,906,2005,None,351240,Brush,-35.53043,150.419556,707,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1932
327,New South Wales,0.6696,Black Rat,Meek; Paul,NSW Department of Environment; Climate Change and Water,Australia,Good,1996,911,1993,None,279030,Bowen,-35.120027,150.770819,711,null,Bait Station,Toxicant,Bromadiolone,Pacific Ocean - South West,Rattus rattus,,,Brodifacoum,Successful,Toxicant,Rodent,Whole Island,,null
329,Preservation Inlet,12.452,House Mouse,Torr; N.,NZ Dept. of Conservation,New Zealand,Good,2008,921,2008,None,49970,Coal,-46.119597,166.63125,715,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,,,,Successful,,Rodent,Whole Island,,null
331,Hawaiian Islands,0.1959,Polynesian Rat,Swenson; Chris,Hawaii Department of Land and Natural Resources,United States,Good,2008,925,2007,None,581480,Mokapu,21.183,-156.927375,718,null,Aerial Broadcast,Toxicant,Diphacinone,Pacific Ocean - North East,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
332,Hawaiian Islands,0.0849,Polynesian Rat,Swenson; Chris,Hawaii Department of Land and Natural Resources,United States,Unknown,2008,926,2007,None,951860,Alau,20.731417,-155.977972,719,null,Hand Broadcast,Toxicant,Diphacinone,Pacific Ocean - North East,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
333,Inner Hebrides,11.26,Brown / Norway Rat,null,null,United Kingdom,Good,2008,928,2005,11 - 100,51580,Canna,57.056667,-6.492554,720,null,Bait Station,Toxicant,Diphacinone,Atlantic Ocean - North,Rattus norvegicus,,,Bromadiolone,Successful,,Rodent,Whole Island,,null
339,Oahu,0.051,Black Rat,Hawaiian Division of Forestry and Wildlife,null,United States,Good,2012,2806,2011,None,553680,Moku'auia (Goat Island),21.664403,-157.923819,740,http://dlnr.hawaii.gov/dofaw/,Bait Station,Toxicant,Diphacinone,Pacific Ocean - North East,Rattus rattus,,Trapping,,Successful,,Rodent,Whole Island,,null
344,Amsterdam and St. Paul Islands,8,House Mouse,Dervaux; Antoine,Department of Conservation of Natural Heritage \nFrench Southern and Antarctic Lands,French Southern Territories,Good,1997,966,1997,10-Jan,55690,Saint-Paul,-38.720014,77.529958,753,null,Aerial Broadcast,Toxicant,Brodifacoum,Indian Ocean - West,Mus musculus,,,,Failed,,Rodent,Whole Island,,1800
350,Rodrigues,0.3589,Asian House Shrew,Varnham; Karen,Antiguan Racer Conservation Project; Island Resources Foundation,Mauritius,Unknown,2000,974,2000,None,404910,Cocos,-19.717944,63.299986,761,www.irf.org,,Toxicant,,Indian Ocean - West,Suncus murinus,,Trapping,,Successful,,Rodent,Whole Island,,null
352,Te Paki Islands,0.3,Polynesian Rat,Beauchamp; Tony,DOC Northland,New Zealand,Satisfactory,1990,980,1989,None,341940,Motuopao,-34.4725,172.637944,765,null,Bait Station,Toxicant,Bromadiolone,Pacific Ocean - South West,Rattus exulans,Other,Trapping,,Successful,,Rodent,Whole Island,,null
367,Lake Manapouri,2.62,Black Rat,Shaw; Viv,Pomona Island Charitable Trus,New Zealand,Good,2008,1042,2007,None,99999903,Pomona,-45.507066,167.473109,814,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
368,Wellington Harbour,0.01,Black Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Poor,1990,1043,1988,None,99999909,Mokopuna (Leper),-41.2513,174.864773,816,null,Unknown,Toxicant,Unknown,Pacific Ocean - South West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1961
369,Marlborough Sound,0.02,Black Rat,Brown; Derek & Kerry,NZ Dept. of Conservation; Falkland Conservation,New Zealand,Satisfactory,1983,1044,null,None,9999913,Duffer's Reef,-40.9546,174.04081,817,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,,Trapping,,Successful,,Rodent,Whole Island,,null
370,Lake Rotomahana,0.13,Black Rat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,2004,1045,2004,None,99999912,Patiti (Banded),-38.267913,176.445735,818,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
371,Great Barrier Islands,0.01,Black Rat,Taylor; G.,null,New Zealand,Satisfactory,1990,1046,1990,None,1095890,Moturako,-36.182916,175.292472,819,null,Hand Broadcast,Toxicant,Flocoumafen,Pacific Ocean - South West,Rattus rattus,,,,Failed,,Rodent,Whole Island,,null
372,Western Australia (Barrow Islands),0.04,Black Rat,Broome; Keith,NZ Dept. of Conservation,Australia,Satisfactory,1983,1047,null,None,99999918,Prince,-20.7269,115.4767,820,null,Bait Station,Toxicant,Pindone,Indian Ocean - East,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
373,Zanzibar Islands,0.3733,Black Rat,Kloiber; Ulli,Chumbe Island Coral Park (CHICOP),Tanzania United Republic of,Good,1997,1048,1997,Unknown,396260,Chumbe,-6.280847,39.175417,821,www.chumbeisland.com,Bait Station,Toxicant,Brodifacoum,Indian Ocean - West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1904
374,Lesser Antilles (St. Lucia Islands),0.011,Black Rat,Daltry; Jenny,Flora and Fauna International,Saint Lucia,Satisfactory,2000,1049,2000,None,9999970,Praslin,13.875028,-60.889344,822,null,Bait Station,Toxicant,Brodifacoum,Caribbean,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
375,Lesser Antilles (St. Lucia Islands),0.011,Black Rat,Varnham; Karen,Antiguan Racer Conservation Project; Island Resources Foundation,Saint Lucia,Satisfactory,1993,1050,1993,None,9999970,Praslin,13.875028,-60.889344,823,www.irf.org,Bait Station,Toxicant,Brodifacoum,Caribbean,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
376,Lesser Antilles (Antigua and Barbuda Islands),0.0046,Black Rat,Varnham; Karen,Antiguan Racer Conservation Project; Island Resources Foundation,Antigua and Barbuda,Good,1998,1053,1998,None,99999922,Lobster,17.133659,-61.729725,826,www.irf.org,Hand Broadcast,Toxicant,Brodifacoum,Caribbean,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
377,Lesser Antilles (Antigua and Barbuda Islands),0.0214,Black Rat,Varnham; Karen,Antiguan Racer Conservation Project; Island Resources Foundation,Antigua and Barbuda,Good,1998,1054,1998,None,9999963,Rabbit,17.135197,-61.730532,827,www.irf.org,Hand Broadcast,Toxicant,Brodifacoum,Caribbean,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
378,Lesser Antilles (Antigua and Barbuda Islands),0.0091,Black Rat,Varnham; Karen,Antiguan Racer Conservation Project; Island Resources Foundation,Antigua and Barbuda,Good,1998,1055,1998,None,99999923,Redhead,17.137812,-61.728302,828,www.irf.org,Hand Broadcast,Toxicant,Brodifacoum,Caribbean,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
379,Channel Islands,0.71,Black Rat,Island Conservation,Island Conservation,United States,Good,2002,1056,2001,None,9999901,Anacapa Middle,34.004661,-119.393278,829,www.islandconservation.org,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - North East,Rattus rattus,Hand Broadcast,,,Successful,,Rodent,Whole Island,,null
380,Sporades Islands,0.0078,Black Rat,null,null,Greece,Satisfactory,2006,1058,2006,None,99999927,Kastronisia - 1,39.211712,23.461552,830,null,Bait Station,Toxicant,Brodifacoum,Mediterranean,Rattus rattus,,,,Successful,,Rodent,Whole Island,,null
381,Cerbicales Islands (Corsica Islands),0.001,Black Rat,Lorvelec; O.,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,France,Poor,2001,1059,null,None,99999928,Folachedda,41.55055,9.31589,831,null,Hand Broadcast,Toxicant,Bromadiolone,Mediterranean,Rattus rattus,,Trapping,,Trial or Research only,,Rodent,Whole Island,,null
382,Lake Manapouri,2.62,House Mouse,Shaw; Viv,Pomona Island Charitable Trus,New Zealand,Good,2008,1086,2007,None,99999903,Pomona,-45.507066,167.473109,847,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,,,,Successful,,Rodent,Whole Island,,null
383,Lake Manapouri,0.6,House Mouse,Shaw; Viv,Pomona Island Charitable Trus,New Zealand,Good,2007,1088,2006,None,99999904,Rona,-45.49346,167.539899,849,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,,,,Successful,,Rodent,Whole Island,,null
384,Lake Wanaka,1.4,House Mouse,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Satisfactory,1995,1092,1995,None,99999907,Mou Waho,-44.552863,169.082049,851,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,,,,Successful,,Rodent,Whole Island,,1995
385,Lake Rotomahana,0.13,House Mouse,Broome; Keith,NZ Dept. of Conservation,New Zealand,Satisfactory,2004,1094,null,None,99999912,Patiti (Banded),-38.267913,176.445735,852,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,,,,Failed,,Rodent,Whole Island,,null
386,Lake Rotorua,1.355,House Mouse,McFadden; Wilke,NZ Dept. of Conservation,New Zealand,Satisfactory,1996,1095,1996,None,99999913,Mokoia,-38.079866,176.286055,853,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,Hand Broadcast,,,Failed,,Rodent,Whole Island,,1965
387,Lake Rotorua,1.355,House Mouse,Broome; Keith,NZ Dept. of Conservation,New Zealand,Good,2003,1096,2001,None,99999913,Mokoia,-38.079866,176.286055,854,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Mus musculus,Hand Broadcast,,,Successful,,Rodent,Whole Island,,1965
388,Western Australia (Lowendal Islands),0.04,House Mouse,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Good,1997,1097,1997,None,757640,Beacon,-20.632527,115.569167,855,null,Bait Station,Toxicant,Pindone,Indian Ocean - East,Mus musculus,,,Brodifacoum,Successful,,Rodent,Whole Island,,1993
389,Kapiti Islands,0.2,Brown / Norway Rat,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Satisfactory,1996,1103,1996,None,99999911,Motungara (Motungarara),-40.886579,174.900801,857,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,1850
390,Lake Rotomahana,0.13,Brown / Norway Rat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Good,2004,1104,2004,None,99999912,Patiti (Banded),-38.267913,176.445735,858,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
391,Lake Rotorua,1.355,Brown / Norway Rat,Jansen; P.,NZ Dept. of Conservation,New Zealand,Satisfactory,1990,1105,1989,None,99999913,Mokoia,-38.079866,176.286055,859,null,Bait Station,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus norvegicus,,,Flocoumafen,Successful,,Rodent,Whole Island,,1839
392,Falkland Islands (The Knobs),0.036,Brown / Norway Rat,Poncet; S.,Falklands Conservation,Falkland Islands (Malvinas),Good,2009,1106,2009,None,810010,Amy (Outer Knob),-51.806263,-58.140833,860,null,Hand Broadcast,Toxicant,Diphacinone,Atlantic Ocean - South,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
393,Falkland Islands (Beaver Island Group),0.037,Brown / Norway Rat,Poncet; S.,Falklands Conservation,Falkland Islands (Malvinas),Good,2002,1108,null,None,1446840,Cucumber,-51.833375,-61.20418,861,null,Hand Broadcast,Toxicant,Brodifacoum,Atlantic Ocean - South,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
394,Falkland Islands (North East Island Group),0.04,Brown / Norway Rat,Poncet; S.,Falklands Conservation,Falkland Islands (Malvinas),Good,2003,1109,null,None,866600,Ella's,-52.010014,-58.378333,862,null,Hand Broadcast,Toxicant,Brodifacoum,Atlantic Ocean - South,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
395,Falkland Islands (North East Island Group),0.12,Brown / Norway Rat,Poncet; S.,Falklands Conservation,Falkland Islands (Malvinas),Good,2003,1110,null,None,461110,Hutchy's,-52.009208,-58.387527,863,null,Hand Broadcast,Toxicant,Brodifacoum,Atlantic Ocean - South,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
396,Falkland Islands (Weddell Islands),0.03,Brown / Norway Rat,Poncet; S.,Falklands Conservation,Falkland Islands (Malvinas),Good,2007,1111,null,None,1075460,Letterbox,-51.825847,-61.146708,864,null,Hand Broadcast,Toxicant,Diphacinone,Atlantic Ocean - South,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
397,Falkland Islands (Beaver Island Group),0.25,Brown / Norway Rat,Poncet; S.,Falklands Conservation,Falkland Islands (Malvinas),Good,2002,1112,2002,None,414100,Rookery,-51.838764,-61.213361,865,null,Hand Broadcast,Toxicant,Brodifacoum,Atlantic Ocean - South,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
398,Falkland Islands (Beaver Island Group),0.0268,Brown / Norway Rat,Poncet; S.,Falklands Conservation,Falkland Islands (Malvinas),Good,2007,1113,2007,None,1590870,Stick-in-the-mud,-51.847944,-61.165847,866,null,Hand Broadcast,Toxicant,Diphacinone,Atlantic Ocean - South,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
399,Sporades Islands,0.0078,Brown / Norway Rat,null,null,Greece,Satisfactory,2006,1114,2006,None,99999927,Kastronisia - 1,39.211712,23.461552,867,null,Bait Station,Toxicant,Brodifacoum,Mediterranean,Rattus norvegicus,,,,Successful,,Rodent,Whole Island,,null
400,Mokohinau Islands,0.11,Polynesian Rat,Broome; Keith,NZ Dept. of Conservation,New Zealand,Good,1990,1116,1990,None,99999915,Hokoromea (Maori Bay),-35.910963,175.104689,869,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
401,Mokohinau Islands,0.01,Polynesian Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Good,1991,1117,1990,None,99999916,Arch,-35.910588,175.101796,870,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
402,Mokohinau Islands,0.01,Polynesian Rat,Veitch; C.R.,NZ Dept. of Conservation,New Zealand,Satisfactory,1978,1118,1978,None,99999917,Lizard,-35.909375,175.113814,871,null,Hand Broadcast,Toxicant,Bromadiolone,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,1977
403,New Caledonia Islands,0.05,Polynesian Rat,Pascal; Michel,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,New Caledonia,Satisfactory,1998,1119,1998,None,868050,Mato,-22.553347,166.790403,872,null,Hand Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
404,New Caledonia Islands,0.005,Polynesian Rat,Pascal; Michel,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,New Caledonia,Good,1998,1120,1998,None,734050,Laregnere,-22.332125,166.320833,873,null,Hand Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
405,Fiji (Viti Levu Group),0.032,Polynesian Rat,Seniloli; Elenoa,BirdLife International - Fiji Programme,Fiji,Good,2008,1121,2008,None,99999919,Mabualau,-17.973,178.756,874,null,Hand Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
408,Kerguelen Islands (Golfe du Morbihan),23.3681,Black Rat,Dervaux; Antoine,Department of Conservation of Natural Heritage \nFrench Southern and Antarctic Lands,French Southern Territories,Satisfactory,2004,1140,2004,None,34210,Australia,-49.454597,69.837007,893,null,Aerial Broadcast,Toxicant,Unknown,Indian Ocean - West,Rattus rattus,,,,Successful,,Rodent,Whole Island,,1800
409,Kerguelen Islands,4.8288,Black Rat,Dervaux; Antoine,Department of Conservation of Natural Heritage \nFrench Southern and Antarctic Lands,French Southern Territories,Satisfactory,2005,1141,2005,None,87250,Moules,-49.410416,69.944972,894,null,Aerial Broadcast,Toxicant,Brodifacoum,Indian Ocean - West,Rattus rattus,,,,Unknown,,Rodent,Whole Island,,1800
410,Kerguelen Islands (Golfe du Morbihan),23.3681,House Mouse,Dervaux; Antoine,Department of Conservation of Natural Heritage \nFrench Southern and Antarctic Lands,French Southern Territories,Satisfactory,2004,1143,2004,None,34210,Australia,-49.454597,69.837007,895,null,Aerial Broadcast,Toxicant,Brodifacoum,Indian Ocean - West,Mus musculus,,,,Failed,,Rodent,Whole Island,,1800
411,Mokohinau Islands,0.0026,Polynesian Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Satisfactory,1990,1145,1990,None,99999952,Stack B,-35.906637,175.104066,896,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,1900
412,Mokohinau Islands,0.02,Polynesian Rat,McFadden; I,NZ Dept. of Conservation,New Zealand,Good,1990,1146,1990,None,99999953,Stack C (Motupapa),-35.907665,175.103959,897,null,Aerial Broadcast,Toxicant,Brodifacoum,Pacific Ocean - South West,Rattus exulans,,,,Successful,,Rodent,Whole Island,,null
